index, hybrid, map
50,hybrid_s5_b8_k3,0.011177804524486478
50,hybrid_s5_b3_k2,0.01199420840391166
50,hybrid_s5_b4_k6_2,0.01137625806365267
50,hybrid1_13_5_1_4,0.011098860347921676
50,hybrid_s5_b8_k2,0.010913175425610665
50,hybrid1_13_5_1_4,0.011201492636813972
50,hybrid_s5_b8_k3,0.011639837981645928
50,hybrid_s5_b8_k2,0.010502445967562285
50,hybrid1_20,0.011304525152446624
50,hybrid_s5_b8_k2,0.011629500140962376
50,hybrid_s4_c14,0.0113645143487859
50,hybrid_s5_b8_k2,0.01121163743566685
50,hybrid_s5_b3_k3,0.011614848001924428
50,hybrid_s4_c14,0.01151748940238835
50,hybrid_s5_b3_k3,0.011222904304959373
50,hybrid_s5_b8_k2,0.011094806727355667
50,hybrid_s5_b3_k2,0.011512713033018679
50,hybrid_s5_b8_k2,0.011538927077107014
50,hybrid_s5_b4_k6,0.011288167780533431
50,hybrid_s5_b8_k3,0.011177810839603416
50,hybrid_s5_b4_k6,0.0108211704197943
50,hybrid_s5_b3_k3,0.011086503641145629
50,hybrid_s5_b8_k2,0.011500564388740302
50,hybrid_s5_b8_k2,0.011571553893390624
50,hybrid1_20,0.011014124152634145
50,hybrid1_15,0.011712330027570345
50,hybrid1_13_5_1_4,0.010722109033770143
50,hybrid_s5_b3_k2,0.010857376820684392
50,hybrid_s5_b8_k2,0.010887798262301521
50,hybrid1_20,0.011636244486702089
50,hybrid1_13_5_1_4,0.011368789514566926
50,hybrid_s5_b3_k2,0.012312966488830753
50,hybrid1_20,0.010924820647158672
50,hybrid1_15,0.010876175548589363
50,hybrid_s5_b8_k2,0.011472441989683385
50,hybrid_s5_b3_k3,0.011105899348986934
50,hybrid1_13_5_1_4,0.011460104289649754
50,hybrid_s5_b8_k2,0.011053568521121392
50,hybrid_s5_b3_k3,0.011539878772021651
50,hybrid_s5_b3_k2,0.011336707715856138
50,hybrid1_15,0.011682953660821505
50,hybrid_s5_b8_k2,0.011782999297297116
50,hybrid_s5_b7_k3_2,0.010886783115282838
50,hybrid_s5_b3_k2_2,0.010971215989328216
50,hybrid_s5_b8_k2,0.011627225231876434
50,hybrid_s5_b8_k2,0.011650153020918387
50,hybrid_s5_b3_k3,0.010807834379486791
50,hybrid1_15,0.011440157693580926
50,hybrid_s5_b3_k2,0.011145490454246242
50,hybrid_s5_b3_k2,0.011415165954266254
